Song,Artist,easy,basic,advanced,expert,master,remaster,title,diffIndex,level
+♂,ギガれをる ダンス アルスマグナ,3,5.0,7.5,9,12.1,-,+♂,2,5.0
+♂,ギガれをる ダンス アルスマグナ,3,5.0,7.5,9,12.1,-,+♂,1,3.0
+♂,ギガれをる ダンス アルスマグナ,3,5.0,7.5,9,12.1,-,+♂,2,5.0
+♂,ギガれをる ダンス アルスマグナ,3,5.0,7.5,9,12.1,-,+♂,3,7.5
+♂,ギガれをる ダンス アルスマグナ,3,5.0,7.5,9,12.1,-,+♂,4,9.0
+♂,ギガれをる ダンス アルスマグナ,3,5.0,7.5,9,12.1,-,+♂,5,12.1
+♂,ギガれをる ダンス アルスマグナ,3,5.0,7.5,9,12.1,-,+♂,4,9.0
+♂,ギガれをる ダンス アルスマグナ,3,5.0,7.5,9,12.1,-,+♂,3,7.5
+♂,ギガれをる ダンス アルスマグナ,3,5.0,7.5,9,12.1,-,+♂,2,5.0
+♂,ギガれをる ダンス アルスマグナ,3,5.0,7.5,9,12.1,-,+♂,1,3.0
+♂,ギガれをる ダンス アルスマグナ,3,5.0,7.5,9,12.1,-,+♂,5,12.1
+♂,ギガれをる ダンス アルスマグナ,3,5.0,7.5,9,12.1,-,+♂,1,3.0
+♂,ギガれをる ダンス アルスマグナ,3,5.0,7.5,9,12.1,-,+♂,3,7.5
+♂,ギガれをる ダンス アルスマグナ,3,5.0,7.5,9,12.1,-,+♂,4,9.0
+♂,ギガれをる ダンス アルスマグナ,3,5.0,7.5,9,12.1,-,+♂,5,12.1
-OutsideR:RequieM-,箱部 なる(CV:M・A・O),2,4.0,7,9.8,12.3,-,-OutsideR:RequieM-,2,4.0
-OutsideR:RequieM-,箱部 なる(CV:M・A・O),2,4.0,7,9.8,12.3,-,-OutsideR:RequieM-,3,7.0
-OutsideR:RequieM-,箱部 なる(CV:M・A・O),2,4.0,7,9.8,12.3,-,-OutsideR:RequieM-,4,9.8
-OutsideR:RequieM-,箱部 なる(CV:M・A・O),2,4.0,7,9.8,12.3,-,-OutsideR:RequieM-,5,12.3
-OutsideR:RequieM-,箱部 なる(CV:M・A・O),2,4.0,7,9.8,12.3,-,-OutsideR:RequieM-,1,2.0
39,sasakure.UK x DECO*27,2,5.0,7.8,9.8,12,12.3,39,5,12.0
