title,diffIndex,level,raw
アリサのテーマ,1,2,Lv. 2
アリサのテーマ,2,4,Lv. 4
アリサのテーマ,3,6.8,Lv. 6.8
アリサのテーマ,4,9.8,Lv. 9.8
アリサのテーマ,5,12.7,Lv. 12.7
きたさいたま2000,1,3,Lv. 3
きたさいたま2000,2,5,Lv. 5
きたさいたま2000,3,7.8,Lv. 7.8
きたさいたま2000,4,11.4,Lv. 11.4
きたさいたま2000,5,13.1,Lv. 13.1
その群青が愛しかったようだった,1,2,Lv. 2
その群青が愛しかったようだった,2,5,Lv. 5
その群青が愛しかったようだった,3,7,Lv. 7
その群青が愛しかったようだった,4,9.5,Lv. 9.5
その群青が愛しかったようだった,5,11.4,Lv. 11.4
ホシトハナ,1,2,Lv. 2
ホシトハナ,2,4,Lv. 4
ホシトハナ,3,6.8,Lv. 6.8
ホシトハナ,4,9.2,Lv. 9.2
ホシトハナ,5,11,Lv. 11
ゆりゆららららゆるゆり大事件,1,2,Lv. 2
ゆりゆららららゆるゆり大事件,2,4,Lv. 4
ゆりゆららららゆるゆり大事件,3,6.4,Lv. 6.4
ゆりゆららららゆるゆり大事件,4,7.5,Lv. 7.5
ゆりゆららららゆるゆり大事件,5,10.7,Lv. 10.7
全力☆Summer!,1,2,Lv. 2
全力☆Summer!,2,4,Lv. 4
全力☆Summer!,3,6.7,Lv. 6.7
全力☆Summer!,4,8.8,Lv. 8.8
全力☆Summer!,5,10.8,Lv. 10.8
全力☆Summer!,6,11.8,Lv. 11.8
夜明けまであと３秒,1,4,Lv. 4
夜明けまであと３秒,2,6,Lv. 6
夜明けまであと３秒,3,8.5,Lv. 8.5
夜明けまであと３秒,4,11,Lv. 11
夜明けまであと３秒,5,12.9,Lv. 12.9
私の中の幻想的世界観及びその顕現を想起させたある現実での出来事に関する一考察,1,2,Lv. 2
私の中の幻想的世界観及びその顕現を想起させたある現実での出来事に関する一考察,2,5,Lv. 5
私の中の幻想的世界観及びその顕現を想起させたある現実での出来事に関する一考察,3,6.7,Lv. 6.7
私の中の幻想的世界観及びその顕現を想起させたある現実での出来事に関する一考察,4,8.2,Lv. 8.2
私の中の幻想的世界観及びその顕現を想起させたある現実での出来事に関する一考察,5,12,Lv. 12
[Toho nicokara]Secret God Matara feat.TAMAONSEN[IOSYS],1,2,Lv. 2
[Toho nicokara]Secret God Matara feat.TAMAONSEN[IOSYS],2,4,Lv. 4
[Toho nicokara]Secret God Matara feat.TAMAONSEN[IOSYS],3,7.5,Lv. 7.5
[Toho nicokara]Secret God Matara feat.TAMAONSEN[IOSYS],4,10,Lv. 10
[Toho nicokara]Secret God Matara feat.TAMAONSEN[IOSYS],5,12.7,Lv. 12.7
+♂,1,3,Lv. 3
+♂,2,5,Lv. 5
+♂,3,7.5,Lv. 7.5
+♂,4,9,Lv. 9
+♂,5,12.1,Lv. 12.1
～AETERNITAS LUDOLOGY～,1,2,Lv. 2
～AETERNITAS LUDOLOGY～,2,4,Lv. 4
～AETERNITAS LUDOLOGY～,3,6.8,Lv. 6.8
～AETERNITAS LUDOLOGY～,4,9.7,Lv. 9.7
～AETERNITAS LUDOLOGY～,5,12.3,Lv. 12.3
39,1,2,Lv. 2
39,2,5,Lv. 5
39,3,7.8,Lv. 7.8
39,4,9.8,Lv. 9.8
39,5,12,Lv. 12
39,6,12.3,Lv. 12.3
7thSense,1,4,Lv. 4
7thSense,2,6,Lv. 6
7thSense,3,8,Lv. 8
7thSense,4,10,Lv. 10
7thSense,5,13,Lv. 13
After Burner,1,3,Lv. 3
After Burner,2,5,Lv. 5
After Burner,3,7.8,Lv. 7.8
After Burner,4,10,Lv. 10
After Burner,5,12,Lv. 12
Aimai Mind,1,2,Lv. 2
Aimai Mind,2,5,Lv. 5
Aimai Mind,3,7.8,Lv. 7.8
Aimai Mind,4,10.2,Lv. 10.2
Aimai Mind,5,12,Lv. 12
Aiolos,1,4,Lv. 4
Aiolos,2,6,Lv. 6
Aiolos,3,8,Lv. 8
Aiolos,4,10.6,Lv. 10.6
Aiolos,5,13,Lv. 13
air's gravity,1,4,Lv. 4
air's gravity,2,5,Lv. 5
air's gravity,3,7.8,Lv. 7.8
air's gravity,4,9.8,Lv. 9.8
air's gravity,5,12.1,Lv. 12.1
akeboshi rocket,1,2,Lv. 2
akeboshi rocket,2,4,Lv. 4
akeboshi rocket,3,6.8,Lv. 6.8
akeboshi rocket,4,8.6,Lv. 8.6
akeboshi rocket,5,10.7,Lv. 10.7
akeboshi rocket,6,11.3,Lv. 11.3
Alea jacta est!,1,4,Lv. 4
Alea jacta est!,2,6,Lv. 6
Alea jacta est!,3,8.8,Lv. 8.8
Alea jacta est!,4,11.5,Lv. 11.5
Alea jacta est!,5,13.5,Lv. 13.5
Alea jacta est!,6,13.9,Lv. 13.9
amanojaku,1,3,Lv. 3
amanojaku,2,5,Lv. 5
amanojaku,3,7.6,Lv. 7.6
amanojaku,4,9.3,Lv. 9.3
amanojaku,5,11.7,Lv. 11.7
Amanojaku Reverse (feat. ｙｔｒ),1,2,Lv. 2
Amanojaku Reverse (feat. ｙｔｒ),2,4,Lv. 4
Amanojaku Reverse (feat. ｙｔｒ),3,7.2,Lv. 7.2
Amanojaku Reverse (feat. ｙｔｒ),4,9.8,Lv. 9.8
