Song,Artist,easy,basic,advanced,expert,master,remaster
+♂,ギガれをる ダンス アルスマグナ,3,5.0,7.5,9,12.1,-
-OutsideR:RequieM-,箱部 なる(CV:M・A・O),2,4.0,7,9.8,12.3,-
39,sasakure.UK x DECO*27,2,5.0,7.8,9.8,12,12.3
7 Girls War,"Wake Up, Girls！",2,4.0,7.2,8.8,10.2,-
7thSense,削除,4,6.0,8,10,13,-
AMAZING MIGHTYYYY!!!!,WAiKURO,4,6.0,9,12,13.6,13.5
ARROW,niki,2,4.0,6.8,10.2,12.3,-
Acceleration,REDALiCE,4,6.0,7.9,10.5,11.9,-
After Burner,東京アクティブNEETs,3,5.0,7.8,10,12,-
Aiolos,xi,4,6.0,8,10.6,13,-
Alea jacta est!,BlackY fused with WAiKURO,4,6.0,8.8,11.5,13.5,13.9
Altale,削除,3,4.0,7.7,10.8,12.7,-
Arrival of Tears,彩音,3,4.0,6.2,9.2,12.3,-
Axeria,AcuticNotes,4,6.0,7.8,10.8,13.4,-
B.B.K.K.B.K.K.,nora2r,3,5.0,8,10.6,12.9,-
B.M.S.,光吉猛修の父,3,5.0,8,11,13,-
BAD∞END∞NIGHT,ひとしずくP・やま△,2,4.0,7.8,9,11.7,-
BETTER CHOICE,Jimmy Weckl feat.高貴みな,3,5.0,7.5,9.2,11.7,-
BREAK YOU!!,A-One,2,5.0,6.4,9.5,12,-
Back 2 Back,長沼英樹「ソニック ラッシュ」,3,5.0,7,9.3,12.5,-
Bad Apple!! feat nomico,Masayoshi Minoshima,2,4.0,6,8.9,10.9,12.3
Bang Babang Bang!!!,御形 アリシアナ(CV:福原 綾香),2,5.0,7.7,9.8,12,-
Barbed Eye,柿チョコ×みきとP,2,4.0,6.8,9.2,11.7,-
Beat Of Mind,Hiro「Crackin'DJ」,4,6.0,8.5,10.5,10.5,13.5
Beat of getting entangled,Shoichiro Hirata,3,5.0,8,10.6,12.2,-
Believe the Rainbow,Shoichiro Hirata feat.Sana,2,4.0,7.8,8.8,12,-
